         40240765 function calls (40240693 primitive calls) in 85.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.001    0.000 _dia.py:89(__init__)
       20    0.000    0.000    0.001    0.000 iostream.py:202(schedule)
        1    0.000    0.000    0.001    0.001 std.py:329(status_printer)
       24    0.000    0.000    0.001    0.000 arrayprint.py:410(<lambda>)
       13    0.000    0.000    0.001    0.000 lax_numpy.py:342(result_type)
       24    0.000    0.000    0.001    0.000 arrayprint.py:1223(__init__)
       20    0.001    0.000    0.001    0.000 socket.py:543(send)
        2    0.000    0.000    0.001    0.000 std.py:1279(close)
        4    0.000    0.000    0.001    0.000 lax.py:830(reshape)
        4    0.000    0.000    0.001    0.000 lax_numpy.py:1791(<listcomp>)
        4    0.000    0.000    0.001    0.000 lax.py:627(concatenate)
        7    0.000    0.000    0.001    0.000 iostream.py:526(write)
        4    0.000    0.000    0.001    0.000 lax.py:1301(squeeze)
        7    0.000    0.000    0.001    0.000 iostream.py:456(_schedule_flush)
       56    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
        4    0.000    0.000    0.001    0.000 lax_numpy.py:774(_compute_newshape)
       17    0.000    0.000    0.001    0.000 {built-in method numpy.arange}
        4    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(unique)
        4    0.000    0.000    0.001    0.000 arraysetops.py:138(unique)
        5    0.000    0.000    0.001    0.000 std.py:1164(__str__)
        4    0.000    0.000    0.000    0.000 util.py:278(_promote_dtypes)
       32    0.000    0.000    0.000    0.000 lax_numpy.py:4068(<genexpr>)
        4    0.000    0.000    0.000    0.000 arraysetops.py:323(_unique1d)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amax)
       24    0.000    0.000    0.000    0.000 lax_numpy.py:4225(_is_slice_element_none_or_constant)
       26    0.000    0.000    0.000    0.000 functools.py:386(_method)
       12    0.000    0.000    0.000    0.000 _sputils.py:147(get_index_dtype)
       12    0.000    0.000    0.000    0.000 lax_numpy.py:785(<genexpr>)
        5    0.000    0.000    0.000    0.000 std.py:355(format_meter)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2677(amax)
       17    0.000    0.000    0.000    0.000 tree_util.py:171(tree_map)
       26    0.000    0.000    0.000    0.000 device_array.py:43(_forward_method)
        4    0.000    0.000    0.000    0.000 reductions.py:264(min)
        8    0.000    0.000    0.000    0.000 core.py:1817(greater_equal_dim)
       24    0.000    0.000    0.000    0.000 _dtype.py:344(_name_get)
        4    0.000    0.000    0.000    0.000 core.py:1838(divide_shape_sizes)
